petugas_id,nama_petugas,cabang_id,tanggal_masuk,status_kepegawaian
PK105,Fajar Nugraha,CB13,2018-06-25,Kontrak
PK106,Agus Salim,CB09,2019-12-28,Kontrak
PK107,Endah Lestari,CB14,2015-08-16,Tetap
PK108,Siti Aisyah,CB22,2022-07-26,Tetap
PK109,Tri Handoko,CB20,2022-07-17,Kontrak
PK110,Lina Marlina,CB13,2021-06-27,Kontrak
PK111,Lina Marlina,CB04,2019-08-18,Tetap
PK112,Fajar Nugraha,CB17,2020-02-11,Tetap
PK113,Bayu Firmansyah,CB12,2023-12-22,Tetap
PK114,Citra Ningrum,CB22,2015-05-18,Kontrak
PK115,Agus Salim,CB01,2023-07-03,Kontrak
PK116,Lina Marlina,CB05,2016-10-03,Tetap
PK117,Bayu Firmansyah,CB03,2016-06-14,Tetap
PK118,Dedi Kurniawan,CB15,2019-06-26,Tetap
PK900,Tidak Diketahui,,,Tidak Diketahui
PK901,Tidak Diketahui,,,Tidak Diketahui
PK902,Tidak Diketahui,,,Tidak Diketahui
PK903,Tidak Diketahui,,,Tidak Diketahui
PK904,Tidak Diketahui,,,Tidak Diketahui
PK905,Tidak Diketahui,,,Tidak Diketahui
PK906,Tidak Diketahui,,,Tidak Diketahui
PK907,Tidak Diketahui,,,Tidak Diketahui
PK908,Tidak Diketahui,,,Tidak Diketahui
PK909,Tidak Diketahui,,,Tidak Diketahui
PK910,Tidak Diketahui,,,Tidak Diketahui
PK911,Tidak Diketahui,,,Tidak Diketahui
PK912,Tidak Diketahui,,,Tidak Diketahui
PK913,Tidak Diketahui,,,Tidak Diketahui
PK914,Tidak Diketahui,,,Tidak Diketahui
PK915,Tidak Diketahui,,,Tidak Diketahui
PK916,Tidak Diketahui,,,Tidak Diketahui
PK917,Tidak Diketahui,,,Tidak Diketahui
PK918,Tidak Diketahui,,,Tidak Diketahui
PK919,Tidak Diketahui,,,Tidak Diketahui
PK920,Tidak Diketahui,,,Tidak Diketahui
PK921,Tidak Diketahui,,,Tidak Diketahui
PK922,Tidak Diketahui,,,Tidak Diketahui
PK923,Tidak Diketahui,,,Tidak Diketahui
PK924,Tidak Diketahui,,,Tidak Diketahui
PK925,Tidak Diketahui,,,Tidak Diketahui
PK926,Tidak Diketahui,,,Tidak Diketahui
PK927,Tidak Diketahui,,,Tidak Diketahui
PK928,Tidak Diketahui,,,Tidak Diketahui
PK929,Tidak Diketahui,,,Tidak Diketahui
PK930,Tidak Diketahui,,,Tidak Diketahui
PK931,Tidak Diketahui,,,Tidak Diketahui
PK932,Tidak Diketahui,,,Tidak Diketahui
PK933,Tidak Diketahui,,,Tidak Diketahui
PK934,Tidak Diketahui,,,Tidak Diketahui
PK935,Tidak Diketahui,,,Tidak Diketahui
PK936,Tidak Diketahui,,,Tidak Diketahui
PK937,Tidak Diketahui,,,Tidak Diketahui
PK938,Tidak Diketahui,,,Tidak Diketahui
PK939,Tidak Diketahui,,,Tidak Diketahui
PK940,Tidak Diketahui,,,Tidak Diketahui
PK941,Tidak Diketahui,,,Tidak Diketahui
PK942,Tidak Diketahui,,,Tidak Diketahui
PK943,Tidak Diketahui,,,Tidak Diketahui
PK944,Tidak Diketahui,,,Tidak Diketahui
PK945,Tidak Diketahui,,,Tidak Diketahui
PK946,Tidak Diketahui,,,Tidak Diketahui
PK947,Tidak Diketahui,,,Tidak Diketahui
PK948,Tidak Diketahui,,,Tidak Diketahui
PK949,Tidak Diketahui,,,Tidak Diketahui
PK950,Tidak Diketahui,,,Tidak Diketahui
PK951,Tidak Diketahui,,,Tidak Diketahui
PK952,Tidak Diketahui,,,Tidak Diketahui
PK953,Tidak Diketahui,,,Tidak Diketahui
PK954,Tidak Diketahui,,,Tidak Diketahui
PK955,Tidak Diketahui,,,Tidak Diketahui
PK956,Tidak Diketahui,,,Tidak Diketahui
PK957,Tidak Diketahui,,,Tidak Diketahui
PK958,Tidak Diketahui,,,Tidak Diketahui
PK959,Tidak Diketahui,,,Tidak Diketahui
PK960,Tidak Diketahui,,,Tidak Diketahui
