nasabah_id,nik_terenkripsi,tanggal_lahir,jenis_kelamin,jenis_usaha,pendapatan_bulanan,lama_usaha_tahun,kota,provinsi
NS000039,NIK0000039,1974-09-10,P,Bengkel,4420000.0,21.0,Gresik,Jawa Timur
NS000040,NIK0000040,1999-02-02,P,Toko Bangunan,1710000.0,12.0,Jember,Jawa Timur
NS000041,NIK0000041,1967-06-07,P,Peternakan,1700000.0,7.0,Bekasi,Jawa Barat
NS000042,NIK0000042,1982-09-06,L,Bengkel,3019750.0,10.0,Cirebon,Jawa Barat
NS000043,NIK0000043,1977-07-30,P,Perikanan,5490000.0,9.0,Pematangsiantar,Sumatera Utara
NS000044,NIK0000044,1982-09-16,L,Perikanan,6300000.0,2.0,Surabaya,Jawa Timur
NS000045,NIK0000045,1995-04-25,L,Peternakan,3840000.0,19.0,Magelang,Jawa Tengah
NS000046,NIK0000046,1979-11-19,P,Jasa Jahit,,13.0,magelang,Jawa Tengah
NS000047,NIK0000047,1966-09-14,P,Warung Kelontong,3700000.0,3.0,Bandung,Jawa Barat
NS000048,NIK0000048,2001-02-09,L,Warung Kelontong,3750000.0,12.0,Parepare,Sulawesi Selatan
NS000049,NIK0000049,1982-08-31,P,Perikanan,2290000.0,10.0,Malang,Jawa Timur
NS000050,NIK0000050,1970-11-17,L,Jasa Jahit,2110000.0,11.0,Parepare,Sulawesi Selatan
NS000051,NIK0000051,1968-03-14,L,Warung Kelontong,5370000.0,1.0,Parepare,Sulawesi Selatan
NS000052,NIK0000052,1985-10-02,P,Pedagang Pasar,7400000.0,12.0,Bekasi,Jawa Barat
NS000053,NIK0000053,1987-02-13,L,Laundry,3530000.0,12.0,Pematangsiantar,Sumatera Utara
NS000054,NIK0000054,1997-01-20,P,Kerajinan,6838500.0,13.0,Semarang,Jawa Tengah
NS000055,NIK0000055,1964-12-09,L,Perikanan,9360000.0,15.0,  Jember,Jawa Timur
NS000056,NIK0000056,1992-06-28,L,Salon,3270000.0,13.0,Kediri,Jawa Timur
NS000057,NIK0000057,2000-08-08,P,Toko Bangunan,1300000.0,12.0,Makassar,Sulawesi Selatan
NS000058,NIK0000058,1992-04-01,L,Peternakan,11310000.0,17.0,Bandung,Jawa Barat
NS000059,NIK0000059,1978-09-05,L,Laundry,2690000.0,14.0,Bandung,Jawa Barat
NS000060,NIK0000060,1977-11-01,P,Bengkel,3240000.0,13.0,Gresik,Jawa Timur
NS000061,NIK0000061,1966-04-04,L,Bengkel,5030000.0,21.0,Solo,Jawa Tengah
NS000062,NIK0000062,1972-01-12,L,Pertanian,5170000.0,16.0,Kudus,Jawa Tengah
NS000063,NIK0000063,1990-03-28,P,Pedagang Pasar,3390000.0,6.0,Sidoarjo,Jawa Timur
NS000064,NIK0000064,1992-09-19,L,Kerajinan,4187820000.0,3.0,Denpasar,Bali
NS000065,NIK0000065,1994-04-26,P,Laundry,2010000.0,4.0,Sidoarjo,Jawa Timur
NS000066,NIK0000066,1965-04-05,L,Peternakan,,18.0,Solo,Jawa Tengah
NS000067,NIK0000067,1980-01-14,L,Jasa Jahit,10390000.0,13.0,Malang,Jawa Timur
NS000068,NIK0000068,1964-01-28,P,Pedagang Pasar,287760000.0,15.0,Semarang,Jawa Tengah
NS000069,NIK0000069,1963-06-09,P,Kerajinan,8410000.0,10.0,MALANG,Jawa Timur
NS000070,NIK0000070,1985-02-27,P,Perikanan,,3.0,Bandung,Jawa Barat
NS000071,NIK0000071,1978-11-17,P,Perikanan,9780000.0,9.0,Makassar,Sulawesi Selatan
NS000072,NIK0000072,1972-01-12,P,Perikanan,11480000.0,6.0,Medan,Sumatera Utara
NS000073,NIK0000073,1995-09-30,L,Pertanian,7720000.0,11.0,  Makassar,Sulawesi Selatan
NS000074,NIK0000074,1978-11-03,P,Laundry,4410000.0,5.0,Denpasar,Bali
NS000075,NIK0000075,1988-01-27,L,Perikanan,6010000.0,2.0,Magelang,Jawa Tengah
NS000076,NIK0000076,1973-10-15,P,Salon,8720000.0,6.0,Solo,Jawa Tengah
NS000077,NIK0000077,1982-11-20,L,Kerajinan,3240000.0,18.0,Bandung,Jawa Barat
NS000078,NIK0000078,1968-09-23,P,Toko Bangunan,2820000.0,5.0,Denpasar,Bali
NS000079,NIK0000079,1960-03-16,L,Warung Kelontong,6520000.0,17.0,Makassar,Sulawesi Selatan
NS000080,NIK0000080,1990-06-06,L,Pedagang Pasar,11850000.0,3.0,Kudus,Jawa Tengah
NS000081,NIK0000081,1997-01-01,P,Peternakan,6620000.0,14.0,Parepare,Sulawesi Selatan
NS000082,NIK0000082,1973-08-25,L,Bengkel,5480000.0,11.0,Cirebon,Jawa Barat
NS000083,NIK0000083,1988-06-10,P,Jasa Jahit,10960000.0,16.0,Medan,Sumatera Utara
NS000084,NIK0000084,1974-08-09,P,Pertanian,2840000.0,6.0,Malang,Jawa Timur
NS000085,NIK0000085,1991-05-11,P,Toko Bangunan,3880000.0,14.0,Surabaya,Jawa Timur
NS000086,NIK0000086,1974-03-27,P,Toko Bangunan,5780000.0,6.0,Gresik ,Jawa Timur
NS000087,NIK0000087,1981-05-31,P,Warung Kelontong,2400000.0,20.0,  Singaraja,Bali
NS000088,NIK0000088,1986-05-28,P,Pertanian,5650000.0,1.0,Sidoarjo,Jawa Timur
NS000089,NIK0000089,1984-11-30,P,Laundry,7340000.0,3.0,Solo,Jawa Tengah
NS000090,NIK0000090,1988-02-16,P,Salon,,2.0,Sidoarjo,Jawa Timur
NS000091,NIK0000091,1993-09-22,P,Bengkel,1779360000.0,6.0,Surabaya,Jawa Timur
NS000092,NIK0000092,1961-07-12,L,Toko Bangunan,4580000.0,11.0,Jember,Jawa Timur
NS000093,NIK0000093,1998-09-17,L,Laundry,3650000.0,13.0,Singaraja,Bali
NS000094,NIK0000094,1977-05-18,P,Laundry,2890000.0,5.0,Gresik,Jawa Timur
NS000095,NIK0000095,1965-07-05,P,Pertanian,6310000.0,20.0,Bandung,Jawa Barat
NS000096,NIK0000096,1978-01-31,P,Laundry,3150000.0,17.0,Solo,Jawa Tengah
NS000097,NIK0000097,1965-01-19,P,Salon,2930000.0,7.0,Parepare,Sulawesi Selatan
NS000098,NIK0000098,1997-01-26,P,Pertanian,5640000.0,7.0,malang,Jawa Timur
NS000099,NIK0000099,1992-08-24,P,Laundry,6970000.0,16.0,Kudus,Jawa Tengah
NS000100,NIK0000100,1974-03-17,P,Laundry,3690000.0,3.0,Bandung,Jawa Barat
NS000101,NIK0000101,1990-11-05,P,Perikanan,9106250.0,21.0,SURABAYA,Jawa Timur
NS000102,NIK0000102,1972-12-31,P,Pedagang Pasar,7490000.0,14.0,Solo,Jawa Tengah
NS000103,NIK0000103,1985-06-22,P,Salon,9650000.0,11.0,Bogor,Jawa Barat
NS000104,NIK0000104,1963-06-28,L,Bengkel,4640000.0,15.0,Cirebon,Jawa Barat
NS000105,NIK0000105,1969-06-17,L,Peternakan,3031080000.0,17.0,Cirebon,Jawa Barat
NS000106,NIK0000106,1970-09-23,L,Salon,2440000.0,8.0,Solo,Jawa Tengah
NS000107,NIK0000107,2000-03-11,P,Bengkel,7990000.0,10.0,Singaraja,Bali
NS000108,NIK0000108,1996-12-24,P,Bengkel,780000.0,21.0,Surabaya,Jawa Timur
NS000109,NIK0000109,1996-08-16,L,Toko Bangunan,3980000.0,15.0,Jember,Jawa Timur
NS000110,NIK0000110,1987-04-13,P,Pedagang Pasar,3330000.0,7.0,Semarang,Jawa Tengah
NS000111,NIK0000111,1984-05-06,L,Pertanian,3290000.0,5.0,Gresik,Jawa Timur
NS000112,NIK0000112,1971-12-11,L,Kerajinan,5090000.0,18.0,Bekasi,Jawa Barat
NS000113,NIK0000113,1995-07-18,P,Pertanian,3980000.0,21.0,Bekasi,Jawa Barat
NS000114,NIK0000114,1967-09-20,L,Kerajinan,6060000.0,9.0,Gresik,Jawa Timur
NS000115,NIK0000115,1964-03-22,P,LAINNYA,10590000.0,13.0,Pematangsiantar,Sumatera Utara
NS000116,NIK0000116,1996-01-03,L,Salon,6610000.0,2.0,Makassar,Sulawesi Selatan
NS000117,NIK0000117,1994-08-06,P,Kerajinan,1472250000.0,13.0,Kediri,Jawa Timur
NS000118,NIK0000118,1968-06-12,L,Kerajinan,4360000.0,17.0,Sidoarjo,Jawa Timur
NS000119,NIK0000119,1994-08-11,L,Warung Kelontong,4270000.0,5.0,Bandung,Jawa Barat
NS000120,NIK0000120,1989-07-16,L,Kuliner,,17.0,Surabaya,Jawa Timur
NS000121,NIK0000121,1985-10-01,P,Toko Bangunan,1596450000.0,18.0,Singaraja,Bali
NS000122,NIK0000122,1994-10-08,P,Tidak Diketahui,6460000.0,9.0,Bogor,Jawa Barat
NS000123,NIK0000123,2002-07-07,P,Jasa Jahit,2030000.0,10.0,Makassar,Sulawesi Selatan
NS000124,NIK0000124,1984-12-29,P,Salon,8000000.0,18.0,Kudus,Jawa Tengah
NS000125,NIK0000125,1980-02-13,P,Warung Kelontong,6130000.0,1.0,Kudus,Jawa Tengah
NS000126,NIK0000126,1971-01-29,L,Laundry,6430000.0,10.0,Semarang,Jawa Tengah
NS000127,NIK0000127,1999-09-29,L,Bengkel,4770000.0,6.0,Parepare,Sulawesi Selatan
NS000128,NIK0000128,1989-11-17,L,Laundry,3450000.0,19.0,Medan,Sumatera Utara
NS000129,NIK0000129,1992-04-12,L,Salon,2270000.0,5.0,Sidoarjo,Jawa Timur
NS000130,NIK0000130,1980-08-17,L,Laundry,3880000.0,2.0,Semarang,Jawa Tengah
NS000131,NIK0000131,1993-04-05,L,Pertanian,2390000.0,19.0,Pematangsiantar,Sumatera Utara
NS000132,NIK0000132,1982-02-17,P,Toko Bangunan,10120000.0,13.0,Magelang,Jawa Tengah
NS000133,NIK0000133,1971-09-26,P,Bengkel,4890000.0,21.0,Bandung,Jawa Barat
NS000134,NIK0000134,1987-09-09,L,Jasa Jahit,14870000.0,1.0,Bandung,Jawa Barat
NS000135,NIK0000135,1961-01-15,P,Pertanian,5720000.0,15.0,Solo,Jawa Tengah
NS000136,NIK0000136,2002-02-08,L,Salon,3380000.0,5.0,Denpasar,Bali
NS000137,NIK0000137,1998-02-22,L,Laundry,3390000.0,18.0,Medan,Sumatera Utara
NS000138,NIK0000138,1989-03-09,P,Peternakan,5150000.0,13.0,Bogor,Jawa Barat
NS000139,NIK0000139,1981-09-23,P,Bengkel,6121750.0,18.0,Solo,Jawa Tengah
NS000140,NIK0000140,1980-03-13,P,Jasa Jahit,3865750.0,6.0,Gresik,Jawa Timur
NS000141,NIK0000141,1990-06-13,L,Kerajinan,3230000.0,10.0,Bandung,Jawa Barat
NS000142,NIK0000142,1962-10-27,L,Laundry,4440000.0,12.0,Magelang,Jawa Tengah
NS000143,NIK0000143,1973-09-03,L,Pertanian,6160000.0,21.0,Semarang,Jawa Tengah
NS000144,NIK0000144,1978-09-10,P,Pedagang Pasar,3810000.0,15.0,Medan,Sumatera Utara
NS000145,NIK0000145,1979-03-13,L,Perikanan,3430000.0,10.0,Semarang,Jawa Tengah
NS000146,NIK0000146,1985-06-29,P,Pedagang Pasar,3466250.0,15.0,Sidoarjo,Jawa Timur
NS000147,NIK0000147,1980-11-23,P,Perikanan,8050000.0,9.0,Jember,Jawa Timur
NS000148,NIK0000148,1984-08-12,L,Pertanian,2780000.0,6.0,Jember,Jawa Timur
NS000149,NIK0000149,1985-04-03,P,Kerajinan,2840000.0,21.0,Makassar,Sulawesi Selatan
NS000150,NIK0000150,1991-05-14,P,Peternakan,1454100000.0,3.0,Bandung ,Jawa Barat
NS000151,NIK0000151,1998-01-18,L,Toko Bangunan,11270000.0,8.0,Singaraja,Bali
NS000152,NIK0000152,1990-05-18,P,Salon,8480000.0,18.0,Cirebon,Jawa Barat
NS000153,NIK0000153,1962-02-09,P,Bengkel,2080000.0,5.0,Malang,Jawa Timur
NS000154,NIK0000154,1991-09-18,P,Pertanian,6880000.0,3.0,Medan,Sumatera Utara
NS000155,NIK0000155,1982-08-08,P,Pertanian,4590000.0,13.0,Jember,Jawa Timur
NS000156,NIK0000156,1961-04-26,P,Jasa Jahit,2910000.0,6.0,Gresik,Jawa Timur
NS000157,NIK0000157,1981-07-01,L,Pedagang Pasar,7355500.0,7.0,Bogor,Jawa Barat
NS000158,NIK0000158,1977-05-31,L,Kerajinan,9300000.0,11.0,Bandung,Jawa Barat
NS000159,NIK0000159,1961-02-05,L,Salon,3100000.0,12.0,Semarang,Jawa Tengah
NS000160,NIK0000160,1999-02-28,L,Peternakan,4440000.0,11.0,Cirebon,Jawa Barat
NS000161,NIK0000161,1992-02-28,L,Laundry,4406250.0,17.0,Cirebon,Jawa Barat
NS000162,NIK0000162,1987-10-25,L,Pedagang Pasar,437750000.0,1.0,Surabaya,Jawa Timur
NS000163,NIK0000163,1995-01-10,P,Jasa Jahit,2340000.0,3.0,Sidoarjo,Jawa Timur
NS000164,NIK0000164,1970-04-15,P,Pedagang Pasar,2160000.0,21.0,Makassar,Sulawesi Selatan
NS000165,NIK0000165,1962-03-17,P,Kerajinan,4780000.0,20.0,Solo,Jawa Tengah
NS000166,NIK0000166,1983-07-12,L,LAINNYA,10160000.0,12.0,  Kudus,Jawa Tengah
NS000167,NIK0000167,1986-04-09,L,Peternakan,3610000.0,10.0,Gresik,Jawa Timur
NS000168,NIK0000168,2002-07-18,L,Jasa Jahit,1620000.0,12.0,  Gresik,Jawa Timur
NS000169,NIK0000169,2001-11-05,P,Tidak Diketahui,3240000.0,20.0,Bekasi,Jawa Barat
NS000170,NIK0000170,1967-03-02,P,Jasa Jahit,10590000.0,20.0,Surabaya,Jawa Timur
NS000171,NIK0000171,1964-07-06,P,Salon,,8.0,Makassar,Sulawesi Selatan
NS000172,NIK0000172,1999-11-11,L,Kerajinan,,5.0,Gresik,Jawa Timur
NS000173,NIK0000173,1989-12-11,P,Pertanian,5300000.0,13.0,Jember,Jawa Timur
NS000174,NIK0000174,1964-01-22,P,Bengkel,7090000.0,12.0,Malang,Jawa Timur
NS000175,NIK0000175,1989-10-10,P,Toko Bangunan,,15.0,Cirebon,Jawa Barat
NS000176,NIK0000176,2000-05-14,L,Kuliner,,5.0,Solo,Jawa Tengah
NS000177,NIK0000177,1984-07-05,P,Laundry,6603500.0,5.0,Bogor,Jawa Barat
NS000178,NIK0000178,1993-02-02,P,Pedagang Pasar,1310000.0,1.0,Bogor,Jawa Barat
NS000179,NIK0000179,1986-12-25,P,Toko Bangunan,5690000.0,8.0,Kediri,Jawa Timur
NS000180,NIK0000180,1977-08-24,P,Pedagang Pasar,4020000.0,21.0,Parepare,Sulawesi Selatan
NS000181,NIK0000181,1992-11-28,P,Kuliner,1560000.0,18.0,Sidoarjo,Jawa Timur
NS000182,NIK0000182,1998-03-17,P,Toko Bangunan,4180000.0,9.0,Kediri,Jawa Timur
NS000183,NIK0000183,1994-07-04,P,Laundry,,5.0,Parepare,Sulawesi Selatan
NS000184,NIK0000184,1992-06-02,P,Bengkel,6130000.0,18.0,Bogor,Jawa Barat
NS000185,NIK0000185,1967-03-10,P,Jasa Jahit,1580000.0,13.0,Cirebon,Jawa Barat
NS000186,NIK0000186,1962-04-25,L,Kerajinan,2470000.0,14.0,Bogor,Jawa Barat
NS000187,NIK0000187,2000-09-08,L,Bengkel,3010000.0,12.0,Bogor,Jawa Barat
NS000188,NIK0000188,1981-02-17,L,Tidak Diketahui,,21.0,Denpasar,Bali
NS000189,NIK0000189,2001-06-08,P,Toko Bangunan,10080000.0,11.0,Kediri,Jawa Timur
NS000190,NIK0000190,1999-11-14,P,Bengkel,5530000.0,15.0,Sidoarjo,Jawa Timur
NS000191,NIK0000191,1997-12-21,P,Kerajinan,6080000.0,8.0,Solo,Jawa Tengah
NS000192,NIK0000192,1999-07-29,P,Perikanan,5740000.0,10.0,Sidoarjo,Jawa Timur
NS000193,NIK0000193,1982-11-15,L,Bengkel,4160000.0,16.0,Parepare,Sulawesi Selatan
NS000194,NIK0000194,1965-09-04,L,Salon,4770000.0,13.0,Solo,Jawa Tengah
NS000195,NIK0000195,1984-10-07,L,Pedagang Pasar,8200000.0,17.0,Singaraja,Bali
NS000196,NIK0000196,1991-11-10,P,Laundry,9670000.0,11.0,semarang,Jawa Tengah
NS000197,NIK0000197,1995-09-15,L,Jasa Jahit,2760000.0,19.0,SINGARAJA,Bali
NS000198,NIK0000198,2001-12-02,L,Kerajinan,2980000.0,14.0,Bogor,Jawa Barat
NS000199,NIK0000199,1964-04-04,P,Perikanan,424880000.0,11.0,Medan,Sumatera Utara
NS000200,NIK0000200,1983-12-28,P,Kerajinan,3050000.0,20.0,Cirebon,Jawa Barat
NS000201,NIK0000201,1970-07-21,P,Kuliner,3660000.0,18.0,Makassar,Sulawesi Selatan
NS000202,NIK0000202,1976-01-24,L,Jasa Jahit,2470000.0,8.0,Solo,Jawa Tengah
NS000203,NIK0000203,1968-04-24,P,Pedagang Pasar,3800000.0,21.0,Bandung,Jawa Barat
NS000204,NIK0000204,1972-05-14,L,Toko Bangunan,3230000.0,1.0,Bandung,Jawa Barat
NS000205,NIK0000205,1987-08-31,L,Tidak Diketahui,6130000.0,18.0,Parepare,Sulawesi Selatan
NS000206,NIK0000206,1986-03-01,P,Kerajinan,4610000.0,21.0,Kediri ,Jawa Timur
NS000207,NIK0000207,1962-07-17,P,Tidak Diketahui,5330000.0,10.0,Pematangsiantar,Sumatera Utara
NS000208,NIK0000208,1993-05-15,P,Bengkel,4290000.0,12.0,Semarang,Jawa Tengah
NS000209,NIK0000209,1989-09-29,P,Pertanian,7238000.0,19.0,Medan,Sumatera Utara
NS000210,NIK0000210,1970-02-07,L,Laundry,6732750.0,10.0,Denpasar,Bali
NS000211,NIK0000211,1981-02-14,P,Warung Kelontong,3720000.0,4.0,Gresik,Jawa Timur
NS000212,NIK0000212,1986-10-24,P,Pedagang Pasar,3260000.0,3.0,Medan,Sumatera Utara
NS000213,NIK0000213,1961-08-11,P,Warung Kelontong,3370000.0,19.0,Kudus,Jawa Tengah
NS000214,NIK0000214,1967-10-28,P,Jasa Jahit,6090000.0,15.0,Magelang,Jawa Tengah
NS000215,NIK0000215,1975-07-30,L,Laundry,,10.0,Bandung,Jawa Barat
NS000216,NIK0000216,1985-11-18,P,Warung Kelontong,4960000.0,11.0,Semarang,Jawa Tengah
NS000217,NIK0000217,1995-08-15,P,Laundry,1950000.0,13.0,Bogor,Jawa Barat
NS000218,NIK0000218,1984-12-06,P,Bengkel,6100000.0,19.0,Surabaya,Jawa Timur
NS000219,NIK0000219,1965-09-18,L,Laundry,7710000.0,18.0,Malang,Jawa Timur
NS000220,NIK0000220,1994-02-26,P,Bengkel,3740000.0,13.0,Kudus,Jawa Tengah
NS000221,NIK0000221,1974-03-06,P,Tidak Diketahui,,2.0,Makassar,Sulawesi Selatan
NS000222,NIK0000222,2001-07-23,P,Bengkel,3170000.0,13.0,Cirebon,Jawa Barat
NS000223,NIK0000223,1998-10-03,L,Kerajinan,5130000.0,18.0,Medan,Sumatera Utara
NS000224,NIK0000224,1969-02-01,P,Kerajinan,3920000.0,4.0,Semarang,Jawa Tengah
NS000225,NIK0000225,1968-07-12,P,Jasa Jahit,,17.0,Malang,Jawa Timur
NS000226,NIK0000226,1978-01-03,L,Kuliner,3280000.0,11.0,kudus,Jawa Tengah
NS000227,NIK0000227,2003-10-09,L,Peternakan,8280000.0,2.0,Parepare,Sulawesi Selatan
NS000228,NIK0000228,1969-11-25,P,Pedagang Pasar,5099500.0,7.0,Bogor,Jawa Barat
NS000229,NIK0000229,1977-08-09,P,Salon,6580000.0,3.0,Solo,Jawa Tengah
NS000230,NIK0000230,1972-10-13,P,Peternakan,9360000.0,12.0,Bandung,Jawa Barat
NS000231,NIK0000231,1969-02-18,L,Toko Bangunan,1970000.0,15.0,Bekasi,Jawa Barat
NS000232,NIK0000232,1990-05-27,P,Warung Kelontong,990000.0,17.0,  Kudus,Jawa Tengah
NS000233,NIK0000233,1984-12-10,P,Pedagang Pasar,4700000.0,16.0,Singaraja,Bali
NS000234,NIK0000234,1980-12-03,P,Pertanian,6030000.0,8.0,Pematangsiantar,Sumatera Utara
NS000235,NIK0000235,1995-07-06,P,Kerajinan,5140000.0,2.0,Sidoarjo,Jawa Timur
NS000236,NIK0000236,1968-05-10,P,Toko Bangunan,2110000.0,21.0,Kediri,Jawa Timur
NS000237,NIK0000237,1964-02-02,L,Laundry,1520000.0,10.0,Cirebon,Jawa Barat
NS000238,NIK0000238,1971-12-08,P,Perikanan,4110000.0,5.0,Makassar,Sulawesi Selatan
NS000239,NIK0000239,1992-05-30,P,Jasa Jahit,4680000.0,11.0,Denpasar,Bali
NS000240,NIK0000240,1987-02-27,L,Salon,4670000.0,14.0,Solo,Jawa Tengah
NS000241,NIK0000241,1997-12-24,L,LAINNYA,3560000.0,21.0,Medan,Sumatera Utara
NS000242,NIK0000242,1993-09-20,P,Pertanian,11920000.0,19.0,PEMATANGSIANTAR,Sumatera Utara
NS000243,NIK0000243,1982-11-02,P,Kerajinan,,18.0,kediri,Jawa Timur
NS000244,NIK0000244,1970-07-08,P,Kuliner,6070000.0,12.0,Kediri,Jawa Timur
NS000245,NIK0000245,1988-02-24,L,Pertanian,4410000.0,19.0,Pematangsiantar,Sumatera Utara
NS000246,NIK0000246,1963-08-21,P,Laundry,960000.0,5.0,Denpasar,Bali
NS000247,NIK0000247,1995-01-30,P,Peternakan,3770000.0,11.0,Kudus,Jawa Tengah
NS000248,NIK0000248,1988-10-31,P,Pertanian,,10.0,Makassar,Sulawesi Selatan
NS000249,NIK0000249,1964-03-02,L,Laundry,5400000.0,7.0,Solo,Jawa Tengah
NS000250,NIK0000250,1999-06-08,L,Kuliner,3340000.0,14.0,Malang,Jawa Timur
NS000251,NIK0000251,1975-03-07,L,Warung Kelontong,1230000.0,15.0,Makassar,Sulawesi Selatan
NS000252,NIK0000252,1996-12-31,P,Peternakan,7890000.0,2.0,Surabaya,Jawa Timur
NS000253,NIK0000253,2002-10-22,L,Pedagang Pasar,6570000.0,10.0,Solo,Jawa Tengah
NS000254,NIK0000254,1991-08-18,L,Kerajinan,6280000.0,7.0,Pematangsiantar,Sumatera Utara
NS000255,NIK0000255,1967-11-07,L,Kuliner,3050000.0,3.0,Cirebon,Jawa Barat
NS000256,NIK0000256,1974-11-17,P,Toko Bangunan,20540000.0,2.0,Magelang,Jawa Tengah
NS000257,NIK0000257,1991-09-04,L,Kerajinan,2410000.0,9.0,Kudus,Jawa Tengah
NS000258,NIK0000258,1960-04-12,P,Laundry,3340000.0,8.0,Gresik,Jawa Timur
NS000259,NIK0000259,1984-08-06,P,Peternakan,1600000.0,4.0,Bogor,Jawa Barat
NS000260,NIK0000260,1973-11-03,L,Pertanian,6330000.0,10.0,Surabaya,Jawa Timur
NS000261,NIK0000261,1990-03-30,L,Toko Bangunan,4810000.0,21.0,gresik,Jawa Timur
NS000262,NIK0000262,1987-11-15,P,Pedagang Pasar,45530000.0,13.0,Gresik,Jawa Timur
NS000263,NIK0000263,1988-02-20,L,Perikanan,2160000.0,9.0,Bekasi,Jawa Barat
NS000264,NIK0000264,1965-11-26,P,Kuliner,5180000.0,7.0,Parepare,Sulawesi Selatan
NS000265,NIK0000265,1993-12-12,L,Tidak Diketahui,,16.0,Cirebon,Jawa Barat
NS000266,NIK0000266,2001-05-16,L,Jasa Jahit,5220000.0,9.0,Singaraja,Bali
NS000267,NIK0000267,1985-03-27,P,Perikanan,1790000.0,6.0,Kudus,Jawa Tengah
NS000268,NIK0000268,1960-06-14,P,Perikanan,,11.0,Pematangsiantar,Sumatera Utara
NS000269,NIK0000269,1981-04-15,P,Laundry,9650000.0,13.0,Malang,Jawa Timur
